valor,area,frente,distancia_centro
324000,221,10.7,4.69
370000,230,14.8,4.76
382000,237,10.5,2.5
474000,240,18.7,0.86
365000,241,8.3,2.21
489000,246,20.7,0.84
439000,250,15.6,2.31
466000,264,20.7,3.65
402000,306,10.2,4.03
427000,323,17.0,5.98
499000,324,20.7,3.26
485000,324,20.7,4.73
533000,351,17.2,0.5
554000,354,22.0,1.25
523000,373,19.6,2.55
521000,378,15.4,0.91
501000,380,15.3,1.12
485000,389,18.3,4.82
504000,413,10.0,0.57
505000,443,14.2,4.53
479000,445,10.8,3.93
508000,452,16.8,5.96
496000,457,10.7,4.11
595000,461,20.1,2.44
477000,461,11.6,5.31
525000,463,8.9,1.07
562000,478,13.7,1.67
560000,479,12.9,2.14
575000,481,18.6,4.04
513000,494,12.3,5.53
545000,494,8.6,1.11
532000,499,10.8,2.81
